project,project_slug,original_file,new_file,selected_visual_path,display_order,suggested_caption,suggested_alt_text,notes
"Cyta / Sustainable Incense Brand","cyta-sustainable-incense-brand","/Users/yuhanlee/Desktop/Personal Portfolio/Project 01_ Sustainable Incense Brand/Inspirations/C8A525FA-AF7E-4FBC-8272-A027AD34F50C.png","01-cyta-packaging-editorial.png","assets/projects/cyta/selected-visuals/01-cyta-packaging-editorial.png","1","","Cyta incense packaging arranged with lace-inspired textile details","Replaced with the user-selected editorial packaging image; unique website filename prevents stale browser caching; original source retained and caption intentionally omitted."
"Cyta / Sustainable Incense Brand","cyta-sustainable-incense-brand","assets/projects/cyta/cyta-gallery-incense-product-cold-grey-01.jpg","02-cyta-product-cold-grey.jpg","assets/projects/cyta/selected-visuals/02-cyta-product-cold-grey.jpg","2","","Cyta incense tube photographed against a cool grey background","Caption intentionally omitted; source retained. Exact duplicate also exists in the older product folder."
"Cyta / Sustainable Incense Brand","cyta-sustainable-incense-brand","assets/projects/cyta/cyta-gallery-incense-product-warm-light-01.jpg","03-cyta-product-warm-light.jpg","assets/projects/cyta/selected-visuals/03-cyta-product-warm-light.jpg","3","","Cyta incense tube photographed in warm light","Caption intentionally omitted; source retained. Exact duplicate also exists in the older product folder."
"Cyta / Sustainable Incense Brand","cyta-sustainable-incense-brand","assets/projects/cyta/cyta-gallery-lace-logo-01.png","04-cyta-lace-logo.png","assets/projects/cyta/selected-visuals/04-cyta-lace-logo.png","4","Lace-inspired identity detail developed around softness, heritage and craft.","White lace-inspired Cyta logo on a pale blue background","Copied; source retained. Exact duplicate also exists in the identity folder."
"Cyta / Sustainable Incense Brand","cyta-sustainable-incense-brand","assets/projects/cyta/cyta-gallery-incense-workshop-01.jpg","05-cyta-workshop-detail.jpg","assets/projects/cyta/selected-visuals/05-cyta-workshop-detail.jpg","5","A workshop detail showing the relationship between material, object and presentation.","Incense tube and tassel shown during a Cyta workshop","Copied; source retained. Exact duplicate also exists in the older workshop folder."
"Cyta / Sustainable Incense Brand","cyta-sustainable-incense-brand","assets/projects/cyta/cyta-gallery-incense-workshop-03.jpg","06-cyta-incense-materials.jpg","assets/projects/cyta/selected-visuals/06-cyta-incense-materials.jpg","6","Raw incense materials used to make the process more visible and approachable.","Incense materials arranged for a Cyta workshop","Copied; source retained. Exact duplicate also exists in the older workshop folder."
"Cyta / Sustainable Incense Brand","cyta-sustainable-incense-brand","assets/projects/cyta/cyta-gallery-sourcing-visit-01.jpg","07-cyta-sourcing-visit.jpg","assets/projects/cyta/selected-visuals/07-cyta-sourcing-visit.jpg","7","Sourcing research focused on product display, material cues and retail context.","Display shelves photographed during a Cyta sourcing visit","Copied; source retained. Exact duplicate also exists in the sourcing folder."
"Cyta / Sustainable Incense Brand","cyta-sustainable-incense-brand","assets/projects/cyta/cyta-gallery-retail-store-visit-01.jpg","08-cyta-retail-visit.jpg","assets/projects/cyta/selected-visuals/08-cyta-retail-visit.jpg","8","Retail observation informing how a calm physical environment can support the brand.","Interior photographed during a Cyta retail research visit","Copied; source retained. Exact duplicate also exists in the sourcing folder."
"Cross-Border E-commerce & Operations","cross-border-ecommerce-operations","assets/projects/cross-border/factory-production-process.jpg","01-ecommerce-digital-printing.jpg","assets/projects/cross-border-ecommerce/selected-visuals/01-ecommerce-digital-printing.jpg","1","Digital printing observed as part of the product and supplier workflow.","Digital textile printing machine in operation","Copied; source retained. One of only three distinct project images currently available."
"Cross-Border E-commerce & Operations","cross-border-ecommerce-operations","assets/projects/cross-border/supplier-warehouse-content.jpg","02-ecommerce-production-machinery.jpg","assets/projects/cross-border-ecommerce/selected-visuals/02-ecommerce-production-machinery.jpg","2","Production capacity and machinery reviewed during supplier coordination.","Rows of production machinery inside a supplier facility","Copied; source retained. One of only three distinct project images currently available."
"Cross-Border E-commerce & Operations","cross-border-ecommerce-operations","assets/projects/cross-border/supplier-warehouse-visit.jpg","03-ecommerce-supplier-visit.jpg","assets/projects/cross-border-ecommerce/selected-visuals/03-ecommerce-supplier-visit.jpg","3","Supplier visit supporting clearer communication across production and fulfilment.","Team walking through a supplier warehouse","Copied; source retained. Exact duplicate also exists in cross-border-ecommerce."
"AI Customer Experience Research","ai-customer-experience-research","assets/projects/previews/main/ai-cx-cover-academic-poster-01.png","01-ai-cx-academic-poster.png","assets/projects/ai-cx-research/selected-visuals/01-ai-cx-academic-poster.png","1","Academic poster summarising the research question, method and key findings.","Academic poster about sustainable fashion AI and customer experience for Gen Z consumers with ADHD","Copied; source retained."
"AI Customer Experience Research","ai-customer-experience-research","assets/projects/ai-cx-research/ai-cx-diagram-thematic-map-01.png","02-ai-cx-thematic-map.png","assets/projects/ai-cx-research/selected-visuals/02-ai-cx-thematic-map.png","2","Thematic map connecting cognitive load, trust and assistive AI.","Thematic map of three AI customer experience research themes","Copied; source retained. Exact duplicate also exists in research/process."
"AI Customer Experience Research","ai-customer-experience-research","assets/projects/ai-cx-research/ai-cx-diagram-interventions-gap-01.png","03-ai-cx-interventions-map.png","assets/projects/ai-cx-research/selected-visuals/03-ai-cx-interventions-map.png","3","Intervention map translating behavioural challenges into possible customer-experience support.","Table mapping AI interventions to ADHD customer experience challenges","Copied; source retained. Exact duplicate also exists in research/process."
"AI Customer Experience Research","ai-customer-experience-research","assets/projects/ai-cx-research/ai-cx-diagram-interview-design-01.png","04-ai-cx-interview-design.png","assets/projects/ai-cx-research/selected-visuals/04-ai-cx-interview-design.png","4","Interview structure linking research objectives, questions and supporting theory.","Research table showing the semi-structured interview design","Copied; source retained. Exact duplicate also exists in research/process."
"AI Customer Experience Research","ai-customer-experience-research","assets/projects/ai-cx-research/ai-cx-diagram-planned-behaviour-01.png","05-ai-cx-planned-behaviour.png","assets/projects/ai-cx-research/selected-visuals/05-ai-cx-planned-behaviour.png","5","Theory of Planned Behaviour used as one lens for understanding intention and action.","Theory of Planned Behaviour diagram used in the research","Copied; source retained. Exact duplicate also exists in research/process."
"AI Customer Experience Research","ai-customer-experience-research","assets/projects/ai-cx-research/ai-cx-diagram-technology-acceptance-01.png","06-ai-cx-technology-acceptance.png","assets/projects/ai-cx-research/selected-visuals/06-ai-cx-technology-acceptance.png","6","Technology Acceptance Model used to consider usefulness, ease and adoption.","Technology Acceptance Model diagram used in the research","Copied; source retained. Exact duplicate also exists in research/process."
"Marketing & Retail Projects","marketing-retail-projects","assets/projects/previews/main/marketing-retail-cover.jpg","01-marketing-retail-store-concept.jpg","assets/projects/marketing-retail/selected-visuals/01-marketing-retail-store-concept.jpg","1","Retail atmosphere reference framing the project’s quiet spatial direction.","Minimal retail interior used as a marketing and retail project cover","Copied; source retained."
"Marketing & Retail Projects","marketing-retail-projects","assets/projects/marketing-retail/web-ready-spreads/marketing-retail-icicle-spread-01.png","02-marketing-retail-visualisation-spread.png","assets/projects/marketing-retail/selected-visuals/02-marketing-retail-visualisation-spread.png","2","Proposal visualisation connecting brand material and customer engagement.","ICICLE proposal spread showing the visualisation concept","Copied from the approved web-ready spreads; source retained."
"Marketing & Retail Projects","marketing-retail-projects","assets/projects/marketing-retail/web-ready-spreads/marketing-retail-icicle-spread-02.png","03-marketing-retail-digital-concept-spread.png","assets/projects/marketing-retail/selected-visuals/03-marketing-retail-digital-concept-spread.png","3","Digital concept exploring a more participatory route into sustainability information.","ICICLE proposal spread showing a digital retail concept","Copied from the approved web-ready spreads; source retained."
"Marketing & Retail Projects","marketing-retail-projects","assets/projects/marketing-retail/web-ready-spreads/marketing-retail-icicle-spread-03.png","04-marketing-retail-research-spread.png","assets/projects/marketing-retail/selected-visuals/04-marketing-retail-research-spread.png","4","Research spread translating consumer concerns into a clearer retail proposition.","ICICLE research spread about decoding greenwashing","Copied from the approved web-ready spreads; source retained."
"Marketing & Retail Projects","marketing-retail-projects","assets/projects/marketing-retail/web-ready-spreads/marketing-retail-icicle-spread-04.png","05-marketing-retail-report-spread.png","assets/projects/marketing-retail/selected-visuals/05-marketing-retail-report-spread.png","5","Business proposal spread positioning the project within ICICLE’s brand context.","ICICLE business report cover spread","Copied from the approved web-ready spreads; source retained."
"Marketing & Retail Projects","marketing-retail-projects","assets/projects/marketing-retail/web-ready-spreads/marketing-retail-icicle-spread-05.png","06-marketing-retail-illustrated-report.png","assets/projects/marketing-retail/selected-visuals/06-marketing-retail-illustrated-report.png","6","Illustrated report presenting the project’s gamification research question.","Illustrated report cover about gamification and sustainable fashion","Copied from the approved web-ready spreads; source retained."
"Fashion Styling / Visual Direction","fashion-styling-visual-direction","assets/projects/photography/fashion-papaya-editorial/revolution-1-single.jpg","01-styling-motion-portrait.jpg","assets/projects/fashion-styling/selected-visuals/01-styling-motion-portrait.jpg","1","Motion portrait exploring gesture, colour and an intentionally cinematic blur.","Fashion portrait using warm light and motion blur","Copied from a non-curated legacy Photography source; source and curated Photography files retained."
"Fashion Styling / Visual Direction","fashion-styling-visual-direction","assets/projects/photography/fashion-papaya-editorial/revolution-2-single.jpg","02-styling-horizontal-portrait.jpg","assets/projects/fashion-styling/selected-visuals/02-styling-horizontal-portrait.jpg","2","A horizontal portrait balancing theatrical styling with a minimal dark setting.","Horizontal fashion portrait of a model in a gold dress","Copied from a non-curated legacy Photography source; source retained."
"Fashion Styling / Visual Direction","fashion-styling-visual-direction","assets/projects/photography/fashion-papaya-editorial/group-50679.jpg","03-styling-editorial-portrait.jpg","assets/projects/fashion-styling/selected-visuals/03-styling-editorial-portrait.jpg","3","Editorial portrait focused on silhouette, expression and graphic surface detail.","Editorial fashion portrait with graphic dress detail","Copied from a non-curated legacy Photography source; source retained."
"Fashion Styling / Visual Direction","fashion-styling-visual-direction","assets/projects/photography/fashion-papaya-editorial/group-50688.jpg","04-styling-editorial-gesture.jpg","assets/projects/fashion-styling/selected-visuals/04-styling-editorial-gesture.jpg","4","Gesture-led portrait extending the project’s playful movement language.","Editorial fashion portrait showing an expressive gesture","Copied from a non-curated legacy Photography source; source retained."
"Fashion Styling / Visual Direction","fashion-styling-visual-direction","assets/projects/photography/fashion-papaya-still-life/01.jpg","05-styling-still-life-table.jpg","assets/projects/fashion-styling/selected-visuals/05-styling-still-life-table.jpg","5","Table study bringing styling, jewellery and quiet performance into one frame.","Fashion still-life portrait staged at a table","Copied from a non-curated legacy Photography source; an exact copy also appears in the curated Photography essay."
"Fashion Styling / Visual Direction","fashion-styling-visual-direction","assets/projects/photography/fashion-papaya-still-life/02.jpg","06-styling-still-life-detail.jpg","assets/projects/fashion-styling/selected-visuals/06-styling-still-life-detail.jpg","6","Close detail using framing and jewellery to direct attention.","Close fashion portrait framed through a white surface","Copied from a non-curated legacy Photography source; source retained."
"Fashion Styling / Visual Direction","fashion-styling-visual-direction","assets/projects/photography/fashion-papaya-bts/film-portrait-bts-01.jpg","07-styling-behind-scenes-portrait.jpg","assets/projects/fashion-styling/selected-visuals/07-styling-behind-scenes-portrait.jpg","7","Behind-the-scenes portrait documenting the visual direction in progress.","Behind-the-scenes fashion portrait against a dark background","Copied from a non-curated legacy Photography source; an exact copy also appears in the curated Photography essay."
"Fashion Styling / Visual Direction","fashion-styling-visual-direction","assets/projects/photography/fashion-papaya-collage/revolution-collage-6.jpg","08-styling-collage-motion.jpg","assets/projects/fashion-styling/selected-visuals/08-styling-collage-motion.jpg","8","Collage study isolating a single movement within the wider sequence.","Fashion collage frame showing a model in motion","Copied from a non-curated legacy Photography source; source retained."
